UCMerced Buildings Dataset - Filter Performance Report
=====================================================

Configuration:
  Threads: 16
  Input folder: C:\Users\DELL\Downloads\UCMerced_LandUse\UCMerced_LandUse\Images\buildings
  Total images processed: 100

Filter Performance Summary:
===========================

Edge Detection:
  Images processed: 100
  Total time: 216.00 ms
  Average time: 2.16 ms
  Min time: 2.00 ms
  Max time: 3.00 ms

Gaussian Blur:
  Images processed: 100
  Total time: 2259.00 ms
  Average time: 22.59 ms
  Min time: 17.00 ms
  Max time: 54.00 ms

Laplacian:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 6.00 ms
  Max time: 15.00 ms

Sharpening:
  Images processed: 100
  Total time: 835.00 ms
  Average time: 8.35 ms
  Min time: 7.00 ms
  Max time: 14.00 ms

Sobel Magnitude:
  Images processed: 100
  Total time: 1458.00 ms
  Average time: 14.58 ms
  Min time: 11.00 ms
  Max time: 24.00 ms

Sobel X:
  Images processed: 100
  Total time: 1484.00 ms
  Average time: 14.84 ms
  Min time: 11.00 ms
  Max time: 23.00 ms

Sobel Y:
  Images processed: 100
  Total time: 210.00 ms
  Average time: 2.10 ms
  Min time: 2.00 ms
  Max time: 5.00 ms


Detailed Results:
=================

Image Name                    Filter              Time (ms)      Status    
buildings84                   Sobel Magnitude     22.00          OK        
buildings85                   Sobel Magnitude     14.00          OK        
buildings86                   Sobel Magnitude     21.00          OK        
buildings87                   Sobel Magnitude     15.00          OK        
buildings88                   Sobel Magnitude     14.00          OK        
buildings89                   Sobel Magnitude     15.00          OK        
buildings90                   Sobel Magnitude     13.00          OK        
buildings91                   Sobel Magnitude     15.00          OK        
buildings92                   Sobel Magnitude     17.00          OK        
buildings93                   Sobel Magnitude     12.00          OK        
buildings94                   Sobel Magnitude     12.00          OK        
buildings95                   Sobel Magnitude     19.00          OK        
buildings96                   Sobel Magnitude     11.00          OK        
buildings97                   Sobel Magnitude     11.00          OK        
buildings98                   Sobel Magnitude     13.00          OK        
buildings99                   Sobel Magnitude     13.00          OK        
buildings00                   Sharpening          7.00           OK        
buildings01                   Sharpening          9.00           OK        
buildings02                   Sharpening          8.00           OK        
buildings03                   Sharpening          7.00           OK        
buildings04                   Sharpening          7.00           OK        
buildings05                   Sharpening          8.00           OK        
buildings06                   Sharpening          7.00           OK        
buildings07                   Sharpening          7.00           OK        
buildings08                   Sharpening          9.00           OK        
buildings09                   Sharpening          8.00           OK        
buildings10                   Sharpening          8.00           OK        
buildings11                   Sharpening          7.00           OK        
buildings12                   Sharpening          7.00           OK        
buildings13                   Sharpening          9.00           OK        
buildings14                   Sharpening          7.00           OK        
buildings15                   Sharpening          7.00           OK        
buildings16                   Sharpening          9.00           OK        
buildings17                   Sharpening          7.00           OK        
buildings18                   Sharpening          7.00           OK        
buildings19                   Sharpening          9.00           OK        
buildings20                   Sharpening          8.00           OK        
buildings21                   Sharpening          8.00           OK        
buildings22                   Sharpening          8.00           OK        
buildings23                   Sharpening          7.00           OK        
buildings24                   Sharpening          7.00           OK        
buildings25                   Sharpening          7.00           OK        
buildings26                   Sharpening          7.00           OK        
buildings27                   Sharpening          7.00           OK        
buildings28                   Sharpening          8.00           OK        
buildings29                   Sharpening          8.00           OK        
buildings30                   Sharpening          7.00           OK        
buildings31                   Sharpening          8.00           OK        
buildings32                   Sharpening          8.00           OK        
buildings33                   Sharpening          11.00          OK        
buildings34                   Sharpening          7.00           OK        
buildings35                   Sharpening          8.00           OK        
buildings36                   Sharpening          8.00           OK        
buildings37                   Sharpening          7.00           OK        
buildings38                   Sharpening          8.00           OK        
buildings39                   Sharpening          8.00           OK        
buildings40                   Sharpening          8.00           OK        
buildings41                   Sharpening          8.00           OK        
buildings42                   Sharpening          8.00           OK        
buildings43                   Sharpening          10.00          OK        
buildings44                   Sharpening          7.00           OK        
buildings45                   Sharpening          7.00           OK        
buildings46                   Sharpening          8.00           OK        
buildings47                   Sharpening          7.00           OK        
buildings48                   Sharpening          11.00          OK        
buildings49                   Sharpening          7.00           OK        
buildings50                   Sharpening          9.00           OK        
buildings51                   Sharpening          8.00           OK        
buildings52                   Sharpening          8.00           OK        
buildings53                   Sharpening          7.00           OK        
buildings54                   Sharpening          8.00           OK        
buildings55                   Sharpening          8.00           OK        
buildings56                   Sharpening          7.00           OK        
buildings57                   Sharpening          9.00           OK        
buildings58                   Sharpening          8.00           OK        
buildings59                   Sharpening          7.00           OK        
buildings60                   Sharpening          7.00           OK        
buildings61                   Sharpening          7.00           OK        
buildings62                   Sharpening          7.00           OK        
buildings63                   Sharpening          7.00           OK        
buildings64                   Sharpening          13.00          OK        
buildings65                   Sharpening          11.00          OK        
buildings66                   Sharpening          11.00          OK        
